# time(ps) MSD_C MSD_Si
1566.5 43022.589130308144377 47568.154223477846244
1567 42983.794677142985165 47526.160855724680005
1567.5 43035.801710906263907 47586.001904911572638
1568 43146.454403517083847 47703.195433422355563
1568.5 43084.618516226772044 47643.503379416673852
1569 43105.064014907162345 47670.713576809866936
1569.5 43105.499826062805369 47664.601902267975674
1570 43156.113714914252341 47737.473161149770021
1570.5 43201.360373839372187 47790.325348644641053
1571 43285.133606705494458 47885.553614365846443
1571.5 43190.447639404490474 47781.236536596363294
1572 43293.024044589386904 47899.485428352702002
1572.5 43323.630566095343966 47939.209971158161352
1573 43302.506301817804342 47925.356232916208683
1573.5 43289.70767110172892 47915.665687489163247
1574 43353.721763590030605 47984.112983498504036
1574.5 43261.111783341759292 47906.78990339369193
1575 43238.896464023164299 47890.593858918495243
1575.5 43253.900257264875108 47920.143970982608153
1576 43268.951169035564817 47950.703024810274655
1576.5 43257.674741886257834 47939.532871997776965
1577 43205.765608979731041 47899.494295208227413
1577.5 43343.192277563772222 48044.37016811594367
1578 43353.603907040262129 48049.98530797183048
1578.5 43372.536767897268874 48075.712018418809748
1579 43388.219679057219764 48100.575787911511725
1579.5 43424.838497903161624 48138.820160977775231
1580 43443.171198717151128 48161.379438064926944
1580.5 43527.505088284029625 48252.149635127585498
1581 43565.146160063079151 48303.662666523639928
1581.5 43649.155469482859189 48390.565274453700113
1582 43652.309239791720756 48395.545454906059604
1582.5 43536.523106986074708 48289.464497607550584
1583 43586.646250915393466 48348.666483973116556
1583.5 43676.984690478871926 48459.189915940994979
1584 43662.836400437146949 48452.900165114602714
1584.5 43615.121916822165076 48421.348498087856569
1585 43717.151077306400111 48527.638802818946715
1585.5 43735.616311801233678 48538.653146799697424
1586 43606.752769958482531 48430.323009900268517
1586.5 43641.673132805808564 48470.4638097615898
1587 43592.178860039748542 48439.547028315828356
1587.5 43603.382012513597147 48455.316994276297919
1588 43675.820719666524383 48534.725185491872253
1588.5 43654.041596929848311 48529.790984841056343
1589 43598.675359543805826 48484.902813438719022
1589.5 43522.345345059358806 48409.39670417416346
1590 43524.032848821232619 48421.568750108868699
1590.5 43386.883873274106008 48297.841496574852499
1591 43458.312231830226665 48376.722418272678624
1591.5 43551.659710353858827 48475.162409169905004
1592 43556.411422119716008 48488.552237396819692
1592.5 43463.148888933123089 48390.846515343182546
1593 43487.457391496573109 48433.710557092512317
1593.5 43529.552408449191716 48474.792390144299134
1594 43493.554339098642231 48444.698983711314213
1594.5 43493.334272207153845 48447.87121823830239
1595 43500.303536155348411 48460.163146515798871
1595.5 43576.351378411702171 48543.143698695123021
1596 43599.453765044832835 48577.58831725854543
1596.5 43571.594341032890952 48537.399708367185667
1597 43662.807513412444678 48635.427300114686659
1597.5 43765.447551323726657 48735.993664915680711
1598 43765.223628589439613 48737.071877464441059
1598.5 43706.086029059035354 48679.915689666879189
1599 43716.419516353409563 48703.744828409100592
1599.5 43642.228284580174659 48613.339681973280676
1600 43685.055495051841717 48660.931568365660496
1600.5 43577.811549798854685 48576.850784298032522
1601 43571.104482069924416 48588.46242859918857
1601.5 43567.207311554469925 48607.73624640305934
1602 43579.59694618859794 48630.192930761593743
1602.5 43571.427465087035671 48617.907364347134717
1603 43573.026063554199936 48631.344339182738622
1603.5 43524.376438195184164 48586.449766746161913
1604 43498.92854993736546 48552.105350062833168
1604.5 43527.874106098082848 48585.499758019010187
1605 43501.049103208257293 48553.61062989414495
1605.5 43665.783393353056454 48717.334770390880294
1606 43618.628543254715623 48674.817195629213529
1606.5 43565.688061936096346 48631.680404321923561
1607 43534.135805056437675 48606.847360300846049
1607.5 43481.070269920695864 48552.463092484198569
1608 43487.28842255964264 48585.360848001335398
1608.5 43426.430251923724427 48523.521765527199022
1609 43482.668480466025358 48582.770684476236056
1609.5 43486.046248511054728 48601.387310766374867
1610 43450.859099817913375 48575.979826541384682
1610.5 43441.309714749055274 48583.798603993134748
1611 43413.758056792299612 48572.869344013699447
1611.5 43451.208664510028029 48612.26976352102065
1612 43499.014213638176443 48654.655663432415167
1612.5 43501.407999264178216 48662.997243454723503
1613 43545.272053618988139 48726.408373498386936
1613.5 43500.438622380512243 48681.661435850619455
1614 43489.746986947728146 48678.572556141618406
1614.5 43490.581675851462933 48683.830405824788613
1615 43552.156171856055153 48757.199165036945487
1615.5 43476.706696234090487 48679.580246511839505
1616 43494.60183264882653 48695.411823332018685
1616.5 43518.94893376698019 48724.490402585783158
1617 43499.301392958324868 48714.017780765934731
1617.5 43476.833520704160037 48700.022374037092959
1618 43520.656576037843479 48752.023907714923553
1618.5 43497.748038086458109 48728.109303766737867
1619 43523.74169700636412 48772.709309356861922
1619.5 43490.970599464519182 48753.649768710958597
1620 43458.345152693960699 48728.945551330914896
1620.5 43423.466486570694542 48699.734868359279062
1621 43429.936823038064176 48710.969916845548141
1621.5 43536.523865200921136 48826.023906284375698
1622 43572.224142903076427 48864.801350477995584
1622.5 43610.635404290682345 48902.40443492475606
1623 43729.641569847779465 49027.545139844267396
1623.5 43711.790242731607577 49008.052145553672744
1624 43737.834053710677836 49042.287386907941254
1624.5 43729.511809929565061 49032.713858561815869
1625 43726.712621797065367 49027.505885181242775
1625.5 43779.602785945477081 49096.279621448498801
1626 43815.379711471388873 49146.929581889344263
1626.5 43786.924486470510601 49136.093326425456326
1627 43766.808850014844211 49124.322637193035916
1627.5 43848.120625707997533 49220.713009773353406
1628 43803.792339021572843 49180.291866060128086
1628.5 43891.139994970391854 49273.280092769680778
1629 43912.066930305249116 49289.880281527424813
1629.5 43916.7376740700347 49311.593987155501964
1630 43908.588095873135899 49309.933237057157385
1630.5 43840.407362948913942 49251.547857065197604
1631 43864.728736642209697 49273.276979016583937
1631.5 43858.960263516346458 49278.067359369430051
1632 43825.757523040876549 49263.822967105545104
1632.5 43793.154179791643401 49229.716454113804502
1633 43758.546039722205023 49202.28761794782622
1633.5 43751.115055192334694 49204.305584371119039
1634 43678.259269257010601 49140.581435833708383
1634.5 43607.823004453341127 49076.08359662379371
1635 43637.910917300723668 49109.585960476426408
1635.5 43634.543657789152348 49098.649308556610777
1636 43683.732586214864568 49155.488052637432702
1636.5 43651.293885221421078 49141.111134768580087
1637 43680.992247804548242 49173.362790979699639
1637.5 43674.652444086881587 49176.455732701484521
1638 43550.412155243669986 49059.580543516931357
1638.5 43638.274356637375604 49155.043771197226306
1639 43637.608617506877636 49158.984805875006714
1639.5 43690.642182849231176 49233.011226172144234
1640 43726.897377641005733 49260.241868922901631
1640.5 43727.19783862082113 49253.075517698234762
1641 43722.746888452071289 49253.294860621776024
1641.5 43723.13614677827718 49260.757843377439713
1642 43710.465499037927657 49253.858463969991135
