# time(ps) MSD_C MSD_Si
2139 38661.421597624146671 42270.558575695780746
2139.5 38704.159363304854196 42307.436789059174771
2140 38726.735714584676316 42335.22077324345446
2140.5 38724.596956684268662 42337.734787204419263
2141 38690.912023853685241 42302.236005473387195
2141.5 38704.15598698665417 42321.476834568878985
2142 38717.651417689143273 42338.728675424979883
2142.5 38710.256252691222471 42337.085621025798901
2143 38745.433373420375574 42366.723392662082915
2143.5 38756.747235798924521 42383.788706519510015
2144 38772.80062152291066 42394.23222968965274
2144.5 38768.929698885833204 42398.109173623175593
2145 38751.908206402498763 42385.599903490125143
2145.5 38728.301231562654721 42375.259290797956055
2146 38771.058700224370114 42420.610370643313217
2146.5 38744.73383837073925 42387.857636125583667
2147 38752.121997834976355 42407.137450231246476
2147.5 38719.023662109066208 42390.698628163452668
2148 38737.184777212380141 42411.440511753928149
2148.5 38745.405757811822696 42433.566545362315082
2149 38712.438729746332683 42404.673305247612006
2149.5 38684.217594145506155 42390.042889401353023
2150 38777.153044272461557 42480.135066687769722
2150.5 38754.520583476463798 42454.13545051960682
2151 38765.321158111750265 42476.917430349734786
2151.5 38744.125025644811103 42456.976915612736775
2152 38742.131075225952372 42463.396528394281631
2152.5 38754.899117294567986 42487.021620132516546
2153 38776.497263880453829 42506.089164223252737
2153.5 38817.039753425284289 42547.077867781677924
2154 38894.866316509520402 42625.052875688612403
2154.5 38911.141522114899999 42636.742858434969094
2155 38927.79425816040748 42660.384267751731386
2155.5 38898.05247053704079 42637.334893729959731
2156 38830.002983000922541 42590.047922561425366
2156.5 38788.243740822726977 42558.529935783270048
2157 38820.805450754916819 42594.248203333161655
2157.5 38804.570045680629846 42582.050372862591757
2158 38800.656301216884458 42581.946850773158076
2158.5 38815.413021516120352 42603.550133085227571
2159 38874.534182923387561 42662.897622842392593
2159.5 38910.664851371409895 42703.063835144697805
2160 38872.486949893624114 42664.930789155245293
2160.5 38869.16113670127379 42669.933112907623581
2161 38900.346072260545043 42696.983725217258325
2161.5 38901.453736999319517 42692.937216522332164
2162 38876.962008021633665 42681.124223075748887
2162.5 38864.724212379369419 42680.330982967985619
2163 38887.517387417014106 42703.097530779057706
